s,E,N,kappa_c,nx,ny
437.5566325632868,544976.8842002264,2819584.8554671244,-0.011295470158545763,-0.9733421091541908,-0.22935810111542035
450.1706755311939,544975.2716239621,2819597.36600979,-0.013598338061311112,-0.9999893293944262,-0.004619642549558256
458.92682772279494,544976.1244020752,2819606.080536208,-0.016557283679595095,-0.9795178953641062,0.2013571271683029
469.4742646282628,544979.2797341512,2819616.144944028,-0.01844046016030755,-0.9307617439848722,0.3656262790531328
479.56711206932266,544983.6583090639,2819625.23854899,-0.020729359694498267,-0.8468801284821998,0.5317838357659743
495.5660025046453,544993.982834934,2819637.4601962077,-0.017858128138507103,-0.7350325863959726,0.6780317816563227
505.6031659876319,545001.0153681571,2819644.621769167,-0.014170495678698894,-0.6428837493079873,0.7659637621165278
521.7682153420712,545015.0832618246,2819652.5843810746,-0.024761378224747773,-0.39951372160124615,0.9167272147440165
534.7941017138486,545027.5269395378,2819656.435173297,-0.01278528991550444,-0.09487449084350734,0.9954892420248374
544.4932187911121,545037.2154449433,2819655.9815929984,-0.01628433205264218,0.10899984809569495,0.9940417662830449
560.8099601830754,545053.36534874,2819653.6542217326,-0.014832914450865422,0.23172345236475853,0.9727817029653455
573.9691618017972,545065.8446677331,2819649.479154702,-0.009415140882964109,0.3734747140020502,0.9276403602695856
583.5522922837215,545074.6189735249,2819645.6258512223,-0.010313581514093494,0.4374948923411223,0.899220895651024
593.7022214497555,545083.5353934976,2819640.7762618638,-0.0052795920627858005,0.5133265644867283,0.858193357112634
600.6677799582683,545089.3121068308,2819636.884143109,0.0027209458533719176,0.625771405572831,0.7800065050801843
605.8011355283415,545093.1760313855,2819633.504583013,-0.0030278960275258353,0.6598402653183311,0.751405898476073
610.7701917807007,545097.1988759876,2819630.5876940284,-0.004862984130442042,0.45876384127103326,0.8885582355379114
615.4515139611559,545101.4238624857,2819628.571691437,0.0015284133313756211,0.5478873743105106,0.8365521054131263
621.2506965256777,545105.719570867,2819624.67587215,-0.0054417353142961,0.6270587939392184,0.7789719307802386
626.7674258827833,545110.4531945394,2819621.84265671,-0.0006487410902741588,0.49987542275799135,0.866097316542731
633.587261429348,545115.9348283319,2819617.785336431,-0.0029446478888401125,0.670255994324625,0.7421299765350461
639.904097993873,545120.5607480424,2819613.483791242,0.009801234132748093,0.6464025725453371,0.7629965361695755
645.6095052375779,545124.9920585154,2819609.890024512,-0.016570549662012067,0.670700495593101,0.7417282826016335
652.5699012579144,545129.5365615918,2819604.617965659,-0.010508557635543187,0.8131290207898669,0.5820834953417872
656.7915201175363,545132.146426256,2819601.2997323596,-0.0029415976965407233,0.7010202300482647,0.7131413864466696
660.6731981001262,545135.1510801965,2819598.842197282,0.006339611960914645,0.6402962038518927,0.7681280956538796
664.1739041828428,545137.6458403277,2819596.3863644362,0.015054964100415088,0.7472217768658148,0.6645747634220658
672.2698925608346,545143.026863626,2819590.3374293167,0.01182531155054417,0.6631204673224225,0.7485126891496845
679.5701224016277,545148.9120265623,2819586.017913957,0.02372764106806614,0.6173890289014973,0.7866579860346339
686.140213913655,545153.792283663,2819581.6191421845,0.016956947123453317,0.6749574480973803,0.7378566549526215
691.4070857082611,545157.71736624,2819578.1072103423,0.017769181067101614,0.6810051733794424,0.7322786039687597
697.2434708573559,545162.3030884926,2819574.4968719883,0.015842617389259527,-0.8775484525303314,-0.4794879700906172
